Unnamed: 0,message_id,timestamp,agent,buyer_userid,conversation_id,shopid,Date,is_buyer,is_seller,content,conversation_status,photo_img,order_time
11,12,2020-04-04 19:51:14,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P27958photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 19:04:37
12,13,2020-04-04 19:51:14,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,True,False,Some Random Text,closed,NO IMG,2020-04-04 19:04:37
13,14,2020-04-04 20:00:45,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
14,15,2020-04-04 20:00:52,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
15,16,2020-04-04 20:00:58,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
16,17,2020-04-04 20:07:50,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
17,18,2020-04-04 20:07:52,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
18,19,2020-04-04 20:08:00,Beauregard,B899197356,C103369163388292323,S1076522480,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246424278409256960&shop_id=196642601""}",normal,NO IMG,2020-04-04 19:04:37
19,20,2020-04-04 19:51:10,NO AGENT,B899197356,C103369163388292323,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:04:37
20,21,2020-04-04 20:44:03,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P858393photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 18:45:27
21,22,2020-04-04 20:44:03,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
22,23,2020-04-04 20:45:07,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
23,24,2020-04-04 20:45:20,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
24,25,2020-04-04 20:45:33,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
25,26,2020-04-04 20:45:37,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
26,27,2020-04-04 20:46:18,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
27,28,2020-04-04 20:51:11,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
28,29,2020-04-04 20:51:13,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
29,30,2020-04-04 20:51:15,Decca,B899234996,C103530825957313763,S1076522480,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246435165537333248&shop_id=196642601""}",normal,NO IMG,2020-04-04 18:45:27
30,31,2020-04-04 20:43:45,NO AGENT,B899234996,C103530825957313763,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:45:27
31,32,2020-04-04 23:14:17,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1150009photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 22:55:46
32,33,2020-04-04 23:20:12,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
33,34,2020-04-04 23:20:27,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
34,35,2020-04-04 23:20:32,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
35,36,2020-04-04 23:03:16,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
36,37,2020-04-04 23:03:16,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
37,38,2020-04-04 23:05:06,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
38,39,2020-04-04 23:05:18,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
39,40,2020-04-04 23:05:22,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
40,41,2020-04-04 23:06:35,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
41,42,2020-04-04 23:08:32,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
42,43,2020-04-04 23:08:36,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
43,44,2020-04-04 23:08:38,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
44,45,2020-04-04 23:08:42,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
45,46,2020-04-04 23:09:52,Bromfield,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
46,47,2020-04-04 23:02:36,NO AGENT,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
47,48,2020-04-04 23:02:54,NO AGENT,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
48,49,2020-04-04 23:03:12,NO AGENT,B899366640,C104096232632028387,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:55:46
49,50,2020-04-04 09:07:47,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P580259photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 08:28:31
50,51,2020-04-04 09:07:47,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
51,52,2020-04-04 09:08:01,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
52,53,2020-04-04 10:12:06,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
53,54,2020-04-04 10:12:40,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
54,55,2020-04-04 10:12:44,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
55,56,2020-04-04 10:58:22,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
56,57,2020-04-04 10:58:26,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
57,58,2020-04-04 10:58:28,Fletcher,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246285985921658880&shop_id=196642601""}",normal,NO IMG,2020-04-04 08:28:31
58,59,2020-04-04 15:12:36,Montclair,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
59,60,2020-04-04 15:12:50,Montclair,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
60,61,2020-04-04 15:12:54,Montclair,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
61,62,2020-04-04 15:12:56,Montclair,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
62,63,2020-04-04 15:12:59,Montclair,B899382159,C104162886229495011,S1076522480,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246350038528765952&shop_id=196642601""}",normal,NO IMG,2020-04-04 08:28:31
63,64,2020-04-04 09:05:26,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
64,65,2020-04-04 09:05:42,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
65,66,2020-04-04 09:06:16,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
66,67,2020-04-04 09:07:32,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
67,68,2020-04-04 09:07:35,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
68,69,2020-04-04 12:30:26,NO AGENT,B899382159,C104162886229495011,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:28:31
69,70,2020-04-04 17:58:52,NO AGENT,B899426275,C104352363006725347,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P680431photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 16:55:30
70,71,2020-04-04 18:10:41,NO AGENT,B899426275,C104352363006725347,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:55:30
71,72,2020-04-04 19:49:10,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1240281photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 19:20:36
72,73,2020-04-04 19:49:10,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
73,74,2020-04-04 19:59:42,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
74,75,2020-04-04 19:59:59,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
75,76,2020-04-04 20:04:21,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
76,77,2020-04-04 20:04:24,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
77,78,2020-04-04 20:04:33,Beauregard,B899604465,C104768948887712590,S899521933,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246423413869277184&shop_id=19642054""}",normal,NO IMG,2020-04-04 19:20:36
78,79,2020-04-04 19:47:08,NO AGENT,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
79,80,2020-04-04 19:47:40,NO AGENT,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
80,81,2020-04-04 19:48:30,NO AGENT,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
81,82,2020-04-04 19:48:54,NO AGENT,B899604465,C104768948887712590,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 19:20:36
82,83,2020-04-04 23:34:12,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1366605photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 22:23:57
83,84,2020-04-04 23:34:12,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
84,85,2020-04-04 23:34:31,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
85,86,2020-04-04 23:34:48,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
86,87,2020-04-04 23:35:03,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
87,88,2020-04-04 23:36:53,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
88,89,2020-04-04 23:37:14,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
89,90,2020-04-04 23:45:42,Sepoy,B900930423,C104768948889038548,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
90,91,2020-04-04 23:33:59,NO AGENT,B900930423,C104768948889038548,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 22:23:57
91,92,2020-04-04 03:21:15,NO AGENT,B903628036,C104768948891736161,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1448114photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 01:35:25
92,93,2020-04-04 16:20:36,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1341304photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 16:17:06
93,94,2020-04-04 16:21:19,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
94,95,2020-04-04 16:35:50,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
95,96,2020-04-04 16:35:51,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
96,97,2020-04-04 16:36:00,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
97,98,2020-04-04 16:36:04,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
98,99,2020-04-04 16:36:05,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246370948196524032&shop_id=19642054""}",normal,NO IMG,2020-04-04 16:17:06
99,100,2020-04-04 16:48:09,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,closed,NO IMG,2020-04-04 16:17:06
100,101,2020-04-04 16:51:01,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
101,102,2020-04-04 17:10:37,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
102,103,2020-04-04 17:10:39,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
103,104,2020-04-04 17:10:42,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
104,105,2020-04-04 17:15:41,Goleta,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
105,106,2020-04-04 17:15:42,Goleta,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
106,107,2020-04-04 17:15:45,Goleta,B904937836,C104768948893045961,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
107,108,2020-04-04 16:20:31,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
108,109,2020-04-04 16:20:31,Worcester,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
109,110,2020-04-04 16:20:23,NO AGENT,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
110,111,2020-04-04 17:10:54,NO AGENT,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
111,112,2020-04-04 17:11:01,NO AGENT,B904937836,C104768948893045961,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 16:17:06
112,113,2020-04-04 20:57:56,NO AGENT,B906915397,C104768948895023522,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1536015photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 19:13:39
113,114,2020-04-04 08:54:08,NO AGENT,B909153536,C104768948897261661,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P782836photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 08:17:14
114,115,2020-04-04 08:54:34,NO AGENT,B909153536,C104768948897261661,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:17:14
115,116,2020-04-04 08:54:40,NO AGENT,B909153536,C104768948897261661,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:17:14
116,117,2020-04-04 09:17:04,NO AGENT,B910477579,C104768948898585704,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P732680photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 08:44:00
117,118,2020-04-04 09:17:10,NO AGENT,B910477579,C104768948898585704,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:44:00
118,119,2020-04-04 09:17:15,NO AGENT,B910477579,C104768948898585704,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:44:00
119,120,2020-04-04 09:34:49,NO AGENT,B910477579,C104768948898585704,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 08:44:00
120,121,2020-04-04 15:25:51,Montclair,B916886019,C104768948904994144,S899521933,2020-04-04,False,True,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1710524photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 11:02:12
121,122,2020-04-04 15:26:07,Montclair,B916886019,C104768948904994144,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 11:02:12
122,123,2020-04-04 15:26:10,Montclair,B916886019,C104768948904994144,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 11:02:12
123,124,2020-04-04 15:26:12,Montclair,B916886019,C104768948904994144,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 11:02:12
124,125,2020-04-04 15:26:17,Montclair,B916886019,C104768948904994144,S899521933,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246353382409568256&shop_id=19642054""}",normal,NO IMG,2020-04-04 11:02:12
125,126,2020-04-04 12:26:17,NO AGENT,B916886019,C104768948904994144,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 11:02:12
126,127,2020-04-04 12:26:31,NO AGENT,B916886019,C104768948904994144,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 11:02:12
127,128,2020-04-04 16:28:08,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1565058photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 14:48:15
128,129,2020-04-04 16:28:15,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
129,130,2020-04-04 16:37:46,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
130,131,2020-04-04 16:38:03,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
131,132,2020-04-04 16:38:07,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
132,133,2020-04-04 16:38:15,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
133,134,2020-04-04 16:38:16,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246371496987648000&shop_id=19642054""}",normal,NO IMG,2020-04-04 14:48:15
134,135,2020-04-04 16:14:20,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
135,136,2020-04-04 16:14:20,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
136,137,2020-04-04 16:14:35,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
137,138,2020-04-04 16:26:41,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
138,139,2020-04-04 16:26:46,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
139,140,2020-04-04 16:27:52,Worcester,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
140,141,2020-04-04 16:13:42,NO AGENT,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
141,142,2020-04-04 16:14:16,NO AGENT,B917299738,C104768948905407863,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 14:48:15
142,143,2020-04-04 06:19:38,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1647236photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 06:00:08
143,144,2020-04-04 07:09:23,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 06:00:08
144,145,2020-04-04 07:10:18,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 06:00:08
145,146,2020-04-04 07:10:23,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 06:00:08
146,147,2020-04-04 07:31:30,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 06:00:08
147,148,2020-04-04 07:31:34,Bromfield,B921841366,C104768948909949491,S899521933,2020-04-04,False,True,"{""url"":""https://seller.shopee.co.id/webview/rate_cards/?id=1246233916281561088&shop_id=19642054""}",normal,NO IMG,2020-04-04 06:00:08
148,149,2020-04-04 18:34:58,Beauregard,B923349757,C104768948911457882,S899521933,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1036721photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 17:41:24
149,150,2020-04-04 18:35:00,Beauregard,B923349757,C104768948911457882,S899521933,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 17:41:24
150,151,2020-04-04 18:35:08,Beauregard,B923349757,C104768948911457882,S899521933,2020-04-04,False,True,Some Random Text,normal,NO IMG,2020-04-04 17:41:24
